municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Espírito Santo do Pinhal;Campinas;São João da Boa Vista;   44170;  1259012; 28,503781;62,88483;309; 48,457350; 58,93417; 88,11; 94,38; 94,38; 17,3769375; 76,7723050; 24,667895
Leme;Campinas;Limeira;  101184;  2978265; 29,434150;62,77175;310; 54,627949; 62,53918; 97,94; 98,32; 98,32; 13,9813078; 36,5661194; 39,879444
Balbinos;Bauru;Bauru;    5188;    54394; 10,484580;62,73643;311; 54,083485; 64,42006; 32,18; 99,32; 99,32; 19,6876253;100,0000000; 32,880289
Guaraçaí;Araçatuba;Andradina;    8466;   228993; 27,048547;62,66914;312; 69,872958; 74,92163; 78,88; 84,03; 84,03;  5,5631580; 76,8995800; 27,155801
Buri;Itapeva;Itapeva;   19737;   368506; 18,670821;62,58544;313; 51,179673; 61,12853; 85,45; 86,08; 86,08; 14,0834786; 90,5434644; 26,138371
Santa Rita do Passa Quatro;Região Administrativa Central;São Carlos;   27590;   641179; 23,239543;62,44899;314; 71,143376; 82,44514;100,00; 79,76; 34,82; 20,1493162; 80,7051037; 30,568993
Chavantes;Marília;Ourinhos;   12487;   211527; 16,939777;62,35286;315; 80,762250; 89,18495; 92,15; 89,60; 89,60;  0,0000000; 37,1770396; 20,348614
Várzea Paulista;Campinas;Jundiaí;  118917;  2658620; 22,356938;62,28596;316; 50,090744; 59,09091; 93,98; 99,09; 99,09; 14,1293100; 65,4320988; 17,384627
Fartura;Itapeva;Itapeva;   16028;   388647; 24,248003;62,28079;317; 48,457350; 58,15047; 88,80; 93,99; 93,99;  6,1969289; 79,6359934; 29,025570
São José dos Campos;São José dos Campos;São José dos Campos;  703219; 39829404; 56,638692;62,24624;318; 47,186933; 55,95611;100,00; 94,16; 94,15; 12,8387559; 62,6829579; 30,995162
Águas de Lindóia;Campinas;Bragança Paulista;   18509;   472984; 25,554271;62,20972;319; 62,794918; 62,06897; 99,10;100,00; 60,91; 14,1653701; 72,4194985; 26,218997
Lorena;São José dos Campos;Guaratinguetá;   87980;  2439667; 27,729791;62,20403;320; 48,820327; 58,15047;100,00; 92,79; 92,79; 13,6053603; 59,5901744; 31,885894
Bananal;São José dos Campos;Cruzeiro;   10867;   202204; 18,607159;62,14641;321; 51,905626; 61,75549; 77,61; 87,28; 87,28; 15,8254590; 99,7963599; 15,718344
Sertãozinho;Ribeirão Preto;Ribeirão Preto;  122643;  5362996; 43,728513;62,06436;322; 78,039927; 78,99687; 99,64; 80,00; 80,00;  6,4980582; 52,2082220; 21,131844
Arandu;Itapeva;Itapeva;    6368;   119198; 18,718279;61,96565;323; 49,183303; 59,56113; 65,53;100,00;100,00; 17,7636610; 70,5994654; 33,087614
Itaberá;Itapeva;Itapeva;   17879;   535071; 29,927345;61,86654;324; 51,361162; 61,12853; 75,12; 88,01; 88,01; 15,0864227; 90,7343770; 25,481840
Pirajuí;Bauru;Bauru;   24973;   450364; 18,034037;61,85818;325; 84,029038; 88,08777; 99,45; 86,38; 31,67;  4,2989811; 66,1957490; 34,753897
Itapura;Araçatuba;Andradina;    4802;   101885; 21,217201;61,82369;326; 73,502722; 86,20690; 77,37; 78,12; 78,12;  4,2815759; 84,5488100; 12,439530
Arealva;Bauru;Bauru;    8452;   213435; 25,252603;61,80543;327; 51,542650; 61,44201; 69,17; 89,46; 89,46; 15,5003503; 95,5962836; 22,272134
